,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Gondanglegi,-7.75,112.01,76.91,82,91,3.38,ID,1604329669
1,Vao,-22.67,167.48,73.74,90,100,8.3,NC,1604329670
2,Rikitea,-23.12,-134.97,72.64,83,80,20.92,PF,1604329670
3,Bredasdorp,-34.53,20.04,73.4,64,0,18.34,ZA,1604329670
4,Bethel,41.37,-73.41,39.0,51,44,11.01,US,1604329670
5,Faanui,-16.48,-151.75,78.82,77,3,18.79,PF,1604329671
6,Cape Town,-33.93,18.42,80.01,57,0,12.75,ZA,1604329619
7,Broken Hill,-31.95,141.43,69.8,40,14,10.29,AU,1604329671
8,Lavrentiya,65.58,-171.0,18.99,91,18,5.7,RU,1604329671
9,Bengkulu,-3.8,102.27,76.35,87,99,4.16,ID,1604329672
10,Butaritari,3.07,172.79,81.19,79,100,20.71,KI,1604329672
11,Port Augusta,-32.5,137.77,75.2,33,100,9.17,AU,1604329672
12,Narsaq,60.92,-46.05,21.2,48,75,5.82,GL,1604329672
13,Sitka,57.05,-135.33,46.4,87,90,17.22,US,1604329672
14,Haapiti,-17.57,-149.87,78.8,74,75,2.24,PF,1604329673
15,Grand Gaube,-20.01,57.66,73.0,57,44,1.99,MU,1604329673
16,Kachīry,53.07,76.1,32.29,92,35,4.7,KZ,1604329673
17,Hong Kong,22.29,114.16,73.0,63,0,5.99,HK,1604329417
18,Dikson,73.51,80.55,16.59,97,99,8.01,RU,1604329674
19,Cabedelo,-6.98,-34.83,86.0,66,75,12.75,BR,1604329674
20,Lake Charles,30.21,-93.2,59.0,57,5,11.41,US,1604329651
21,Torbay,47.67,-52.73,51.01,87,90,32.21,CA,1604329674
22,Cabo San Lucas,22.89,-109.91,68.0,64,5,5.82,MX,1604329630
23,Albany,42.6,-73.97,35.01,63,97,5.01,US,1604329675
24,Vestmanna,62.16,-7.17,44.6,75,40,18.34,FO,1604329675
25,Kenai,60.55,-151.26,25.0,29,1,27.51,US,1604329675
26,Letterkenny,54.95,-7.73,50.0,87,75,12.75,IE,1604329676
27,Adra,36.75,-3.02,73.0,87,75,4.7,ES,1604329676
28,Saint Paul Harbor,57.79,-152.41,26.6,42,1,16.11,US,1604329676
29,Tiksi,71.69,128.87,-2.11,89,97,5.44,RU,1604329676
30,Eydhafushi,5.1,73.07,83.28,71,21,7.94,MV,1604329677
31,Hilo,19.73,-155.09,73.4,83,20,4.7,US,1604329677
32,Hithadhoo,-0.6,73.08,83.77,74,11,10.36,MV,1604329677
33,Mirny,62.54,113.96,5.0,84,75,17.9,RU,1604329677
34,Ushuaia,-54.8,-68.3,53.6,71,75,4.7,AR,1604329678
35,Afonso Cláudio,-20.07,-41.12,71.49,63,73,0.36,BR,1604329678
36,San Quintín,30.48,-115.95,67.78,68,0,4.65,MX,1604329678
37,Hoa Binh,20.81,105.34,71.6,64,0,5.82,VN,1604329678
38,George Town,5.41,100.34,78.8,94,40,2.24,MY,1604329679
39,Estrela,-28.06,-50.94,73.4,37,0,3.02,BR,1604329679
40,Mgandu,-5.95,34.13,83.03,27,31,10.49,TZ,1604329679
41,Westport,41.14,-73.36,41.0,57,44,4.0,US,1604329679
42,Avarua,-21.21,-159.78,73.4,88,75,11.41,CK,1604329574
43,Ahipara,-35.17,173.17,62.29,88,92,9.78,NZ,1604329680
44,Provideniya,64.38,-173.3,23.77,94,62,8.55,RU,1604329680
45,Friockheim,56.64,-2.66,51.8,76,20,12.75,GB,1604329681
46,Ngorongoro,-3.24,35.49,65.86,50,71,10.27,TZ,1604329681
47,Bambous Virieux,-20.34,57.76,73.4,56,75,11.41,MU,1604329681
48,São Jerônimo,-29.96,-51.72,73.99,49,40,4.7,BR,1604329681
49,Souillac,-20.52,57.52,73.4,56,75,11.41,MU,1604329682
50,Rizhao,35.43,119.46,47.52,48,0,10.76,CN,1604329682
51,Ngunguru,-35.62,174.5,64.99,92,93,5.99,NZ,1604329682
52,Port Alfred,-33.59,26.89,69.73,76,0,27.2,ZA,1604329683
53,Busselton,-33.65,115.33,57.0,79,8,8.21,AU,1604329683
54,Nikolskoye,59.7,30.79,37.4,100,90,11.18,RU,1604329683
55,Aranos,-24.13,19.12,68.16,57,98,22.64,NA,1604329684
56,Hobart,-42.88,147.33,62.6,59,100,9.17,AU,1604329532
57,Kavieng,-2.57,150.8,83.26,72,58,4.03,PG,1604329684
58,Olafsvik,64.89,-23.71,41.32,73,100,22.32,IS,1604329684
59,Hamilton,39.18,-84.53,39.99,55,1,6.93,US,1604329603
60,Vardø,70.37,31.11,42.8,81,75,29.97,NO,1604329685
61,Kapaa,22.08,-159.32,69.8,100,1,8.05,US,1604329685
62,Kiryat Gat,31.61,34.76,73.99,65,30,8.55,IL,1604329685
63,Marataizes,-21.04,-40.82,71.55,71,38,13.35,BR,1604329685
64,Geraldton,-28.77,114.6,60.8,77,6,5.82,AU,1604329686
65,Qaanaaq,77.48,-69.36,4.37,75,91,2.71,GL,1604329686
66,Plettenberg Bay,-34.05,23.37,70.99,68,6,13.91,ZA,1604329686
67,Vityazevo,44.99,37.27,53.6,87,75,4.47,RU,1604329686
68,Avera,33.19,-82.53,51.01,37,1,9.17,US,1604329687
69,Mataura,-46.19,168.86,41.0,91,68,1.9,NZ,1604329687
70,Grindavik,63.84,-22.43,37.4,93,75,23.04,IS,1604329687
71,Cidreira,-30.18,-50.21,67.62,49,0,7.87,BR,1604329687
72,Azul,-36.78,-59.86,72.0,50,0,4.0,AR,1604329688
73,Kernersville,36.12,-80.07,45.0,38,1,10.29,US,1604329688
74,Lima,-12.04,-77.03,63.0,82,90,5.82,PE,1604329608
75,Hermanus,-34.42,19.23,77.0,62,0,8.01,ZA,1604329688
76,Makakilo City,21.35,-158.09,71.6,83,1,3.36,US,1604329416
77,Vaini,-21.2,-175.2,73.4,94,75,6.93,TO,1604329689
78,Constitución,-35.33,-72.42,60.69,70,33,10.04,CL,1604329689
79,Pedra Azul,-16.01,-41.3,64.71,90,100,5.21,BR,1604329689
80,Aksu,41.12,80.26,42.53,56,0,0.54,CN,1604329689
81,Kruisfontein,-34.0,24.73,77.0,62,0,5.99,ZA,1604329690
82,Turinsk,58.05,63.7,27.57,96,26,5.03,RU,1604329690
83,Kasongo-Lunda,-6.47,16.82,83.5,68,59,4.16,CD,1604329690
84,Aklavik,68.22,-135.01,3.2,71,0,6.93,CA,1604329649
85,Barrow,71.29,-156.79,24.8,73,40,8.05,US,1604329691
86,Rocha,-34.48,-54.33,67.46,62,43,7.9,UY,1604329691
87,Xam Nua,20.42,104.04,63.23,95,45,1.99,LA,1604329691
88,Bluff,-46.6,168.33,41.0,91,1,4.05,NZ,1604329691
89,New Ulm,44.31,-94.46,41.0,64,1,5.82,US,1604329692
90,Eskilstuna,59.37,16.51,61.0,82,75,19.46,SE,1604329692
91,Lompoc,34.64,-120.46,51.8,75,1,3.24,US,1604329555
92,Guerrero Negro,27.98,-114.06,71.2,65,12,7.7,MX,1604329692
93,Vostok,46.49,135.88,23.86,99,62,2.64,RU,1604329692
94,Pisco,-13.7,-76.22,66.2,82,90,5.82,PE,1604329693
